Iterations	q_{12}	q_{21}	q_{13}	q_{31}	q_{24}	q_{42}
541	0.135156	0.583447	3.118912	2.353525	0.088301	0.057486
542	0.117718	0.575838	3.118869	2.352307	0.111201	0.047217
543	0.141496	0.559206	3.116601	2.357750	0.096121	0.037372
546	0.136294	0.540365	3.119821	2.375627	0.093047	0.033313
552	0.146303	0.517536	3.133527	2.374333	0.073324	0.051926
556	0.167490	0.504940	3.153762	2.397727	0.062005	0.038825
557	0.164134	0.503018	3.174735	2.417803	0.084814	0.046384
558	0.140345	0.501744	3.182023	2.419078	0.106153	0.052948
559	0.151925	0.498132	3.187011	2.425991	0.089717	0.028978
560	0.164931	0.478189	3.186863	2.424856	0.088645	0.029141
561	0.181494	0.501896	3.209071	2.409366	0.102509	0.021992
565	0.188883	0.494773	3.212490	2.420769	0.124744	0.037843
570	0.196699	0.508343	3.212049	2.428381	0.138952	0.042640
571	0.192008	0.503270	3.227721	2.433396	0.144159	0.053236
574	0.215415	0.502604	3.248072	2.431159	0.125008	0.066397
575	0.218362	0.513052	3.261994	2.426730	0.119669	0.048779
578	0.227055	0.525089	3.286214	2.404487	0.095201	0.051302
579	0.230563	0.508452	3.297087	2.426576	0.109194	0.048558
581	0.253963	0.497280	3.307746	2.444357	0.086787	0.065666
594	0.252642	0.486906	3.295276	2.451971	0.080377	0.051641
595	0.272409	0.486280	3.301645	2.467127	0.080830	0.059709
598	0.265257	0.485720	3.306657	2.473290	0.081373	0.052577
600	0.258281	0.495276	3.314840	2.468130	0.078691	0.035762
601	0.234870	0.518904	3.318285	2.485548	0.091725	0.044691
604	0.240981	0.496136	3.329000	2.471464	0.116325	0.048745
605	0.255326	0.504059	3.353092	2.483325	0.127897	0.046362
607	0.248369	0.507447	3.359347	2.479704	0.133366	0.031642
611	0.248480	0.523567	3.378972	2.464976	0.121221	0.049032
614	0.258133	0.527558	3.383624	2.482621	0.097576	0.056757
615	0.251980	0.510381	3.377137	2.488277	0.121615	0.062646
616	0.273032	0.492999	3.385782	2.472544	0.124175	0.054558
619	0.289849	0.488044	3.387642	2.492336	0.141489	0.064604
621	0.267182	0.479070	3.387236	2.489130	0.126680	0.052924
622	0.245438	0.479940	3.382234	2.507707	0.146589	0.032278
623	0.241365	0.503081	3.386625	2.521375	0.125858	0.056381
624	0.260417	0.517658	3.391125	2.534350	0.123184	0.062917
626	0.262071	0.493544	3.379392	2.559037	0.103776	0.055254
628	0.245846	0.513567	3.394040	2.541771	0.125686	0.055957
632	0.263219	0.491256	3.393202	2.549374	0.150230	0.033940
634	0.258315	0.489497	3.404560	2.572049	0.154014	0.034773
637	0.265080	0.509889	3.425492	2.571844	0.158223	0.047278
640	0.271931	0.490459	3.422475	2.593214	0.153553	0.045825
641	0.278640	0.492182	3.447063	2.594681	0.153450	0.027646
645	0.261977	0.493182	3.463831	2.614311	0.161196	0.047025
646	0.266761	0.509921	3.473480	2.638322	0.141253	0.035579
647	0.260630	0.516644	3.486193	2.645292	0.161094	0.038070
648	0.243649	0.529650	3.505099	2.636650	0.146780	0.057250
651	0.263069	0.532031	3.499699	2.646639	0.140133	0.054436
653	0.246989	0.509836	3.515050	2.639708	0.150799	0.043385
655	0.233532	0.509306	3.532956	2.631595	0.144980	0.041377
656	0.229143	0.512764	3.535367	2.646417	0.121296	0.043433
660	0.221884	0.509356	3.545217	2.652080	0.124670	0.055977
668	0.206349	0.495960	3.567138	2.661880	0.119316	0.042114
672	0.185485	0.486456	3.578458	2.686438	0.104461	0.040143
673	0.174958	0.490897	3.595082	2.707320	0.085163	0.053070
681	0.175366	0.472907	3.600060	2.728132	0.079795	0.046826
684	0.174534	0.470150	3.613890	2.746957	0.063442	0.061291
685	0.167382	0.490726	3.629308	2.743720	0.077516	0.050076
688	0.181660	0.475254	3.642858	2.758470	0.068471	0.031679
692	0.179275	0.498674	3.665701	2.759986	0.086860	0.032289
695	0.176862	0.474335	3.683974	2.765843	0.090856	0.054046
701	0.174124	0.456173	3.675002	2.785716	0.089590	0.045580
702	0.161026	0.437430	3.691857	2.760899	0.087156	0.049168
703	0.172497	0.437605	3.712531	2.763027	0.071842	0.035693
707	0.176696	0.419129	3.730768	2.767431	0.093276	0.045875
709	0.181252	0.424648	3.750998	2.782801	0.114897	0.066961
711	0.200111	0.441493	3.744393	2.807496	0.134558	0.046906
712	0.218299	0.452566	3.764439	2.822651	0.125746	0.038888
728	0.241101	0.454646	3.779404	2.823719	0.145473	0.031865
729	0.223445	0.439856	3.780548	2.813421	0.145654	0.052169
732	0.243630	0.416784	3.802889	2.793024	0.135390	0.040305
743	0.267467	0.410978	3.816648	2.786981	0.134037	0.053730
744	0.249579	0.418393	3.827421	2.806079	0.135355	0.042616
745	0.252130	0.434868	3.844982	2.816203	0.132802	0.065584
747	0.234359	0.439782	3.845405	2.831341	0.155884	0.042468
751	0.222147	0.430792	3.852731	2.816498	0.165077	0.041383
761	0.204019	0.407839	3.859341	2.807037	0.154878	0.043488
762	0.203411	0.418416	3.883281	2.826907	0.155516	0.027865
763	0.218392	0.428724	3.890709	2.835693	0.149975	0.041146
766	0.200990	0.409581	3.906161	2.840848	0.133230	0.054113
770	0.189671	0.395882	3.904175	2.847289	0.134070	0.049516
772	0.212081	0.401117	3.925570	2.860534	0.111749	0.027881
780	0.236407	0.388258	3.941875	2.838595	0.125419	0.036333
783	0.259717	0.365637	3.952327	2.851840	0.120721	0.045657
785	0.278313	0.376501	3.970148	2.864667	0.101630	0.028038
787	0.276611	0.391229	3.955044	2.847981	0.122094	0.042396
793	0.277201	0.369945	3.976708	2.825728	0.113411	0.032613
794	0.275934	0.387743	3.987953	2.844124	0.127220	0.028116
796	0.278713	0.363526	3.974746	2.860778	0.116929	0.035337
799	0.280954	0.350868	3.990688	2.860692	0.127623	0.046825
807	0.285293	0.360284	3.980737	2.884344	0.143759	0.035413
809	0.264730	0.357290	3.974631	2.882216	0.128787	0.045227
813	0.242529	0.371220	3.987906	2.894760	0.144104	0.045713
817	0.226881	0.363968	4.006066	2.915815	0.131168	0.045478
819	0.232982	0.364882	4.003155	2.935760	0.113658	0.043743
820	0.233521	0.369021	4.026306	2.927627	0.113510	0.036565
822	0.256856	0.387592	4.044696	2.937223	0.105475	0.035454
825	0.235588	0.396497	4.057994	2.937537	0.100850	0.029235
828	0.210694	0.377277	4.056477	2.913666	0.101264	0.047768
830	0.195914	0.367989	4.071372	2.901195	0.098294	0.038595
832	0.187246	0.357428	4.094135	2.900158	0.086749	0.055500
833	0.203477	0.377386	4.115450	2.878170	0.071204	0.050568
834	0.181544	0.401185	4.134759	2.878087	0.096117	0.068060
835	0.191059	0.424750	4.135877	2.889216	0.102192	0.043818
837	0.193823	0.420249	4.136639	2.900479	0.110792	0.056173
839	0.190883	0.436950	4.137622	2.906185	0.118591	0.054193
843	0.180966	0.429838	4.156056	2.888071	0.114407	0.042110
